N° du client,Statut du client,Âge du client,Genre du client,Nb de personnes à charge,Niveau de diplôme,Statut marital,Catégorie du revenu annuel,Type de carte,Durée d'engagement en mois,Nb de mois inactif,Nb d'interactions,Montant crédit renouvellé,Nb de transactions,Utilisation moyenne de la carte,risque_inactivite,risque_interactions,risque_credit,risque_transactions,risque_utilisation,score_risque,niveau_risque
799723908,Client actuel,46,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,40,3,3,1435,27,0.074,0,0,0,1,1,2,Modéré
771490833,Client actuel,52,M,1,Niveau Bac+2,Célibataire,$80K - $120K,Blue,40,1,1,1227,40,0.259,0,0,0,1,0,1,Faible
720756708,Client actuel,52,F,3,Non connu,Marié(e),Moins de $40K,Blue,41,3,2,1549,30,0.591,0,0,0,1,0,1,Faible
711525033,Client actuel,66,F,0,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,54,4,2,2179,38,0.687,1,0,0,1,0,2,Modéré
712813458,Client actuel,49,M,2,Non connu,Célibataire,$120K +,Blue,36,2,0,2517,35,0.127,0,0,0,1,1,2,Modéré
717891558,Client actuel,49,F,4,Licence,Non connu,Moins de $40K,Blue,36,4,2,2200,32,0.667,1,0,0,1,0,2,Modéré
716632758,Client actuel,49,F,3,Licence,Célibataire,Moins de $40K,Blue,36,2,0,2363,40,0.843,0,0,0,1,0,1,Faible
768563658,Client actuel,56,M,2,Sans diplôme,Marié(e),$40K - $60K,Blue,50,2,3,1880,29,0.422,0,0,0,1,0,1,Faible
711427458,Client actuel,44,F,5,Licence,Marié(e),Non connu,Blue,35,1,2,978,25,0.156,0,0,0,1,1,2,Modéré
714091983,Client actuel,42,M,2,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,34,4,3,1753,27,0.525,1,0,0,1,0,2,Modéré
787584108,Client actuel,55,M,3,Non connu,Célibataire,$80K - $120K,Blue,47,2,3,2016,33,0.587,0,0,0,1,0,1,Faible
711481533,Client actuel,39,M,1,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,33,3,3,1251,28,0.211,0,0,0,1,0,1,Faible
710082708,Client actuel,44,M,4,Master,Célibataire,$120K +,Blue,32,4,2,2102,26,0.088,1,0,0,1,1,3,Modéré
708155733,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Célibataire,$120K +,Blue,44,2,2,1634,23,0.111,0,0,0,1,1,2,Modéré
788979258,Client actuel,51,M,4,Sans diplôme,Célibataire,$80K - $120K,Silver,38,1,4,1515,32,0.044,0,1,0,1,1,3,Modéré
807986133,Client actuel,57,M,2,Niveau Bac+2,Célibataire,$60K - $80K,Blue,52,3,3,1817,35,0.276,0,0,0,1,0,1,Faible
788730933,Client actuel,44,F,2,Sans diplôme,Célibataire,Moins de $40K,Blue,20,3,3,1468,28,0.704,0,0,0,1,0,1,Faible
711314058,Client actuel,49,M,2,Licence,Célibataire,$60K - $80K,Blue,32,2,2,1107,17,0.656,0,0,0,1,0,1,Faible
717975333,Client actuel,50,M,2,Doctorat,Célibataire,$80K - $120K,Blue,38,2,2,1330,15,0.053,0,0,0,1,1,2,Modéré
715971108,Client actuel,51,M,4,Licence,Célibataire,$120K +,Blue,42,2,3,1763,41,0.051,0,0,0,1,1,2,Modéré
720096558,Client actuel,55,F,2,Licence,Marié(e),Moins de $40K,Blue,42,3,3,1034,36,0.467,0,0,0,1,0,1,Faible
719580033,Client actuel,54,M,1,Licence,Non connu,$60K - $80K,Blue,43,2,3,2030,21,0.698,0,0,0,1,0,1,Faible
820582308,Client actuel,42,M,5,Sans diplôme,Marié(e),$80K - $120K,Blue,37,2,2,1528,35,0.067,0,0,0,1,1,2,Modéré
789973308,Client actuel,44,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,35,3,3,1932,24,0.079,0,0,0,1,1,2,Modéré
712876233,Client actuel,53,M,2,Licence,Célibataire,$80K - $120K,Blue,36,3,2,1515,33,0.287,0,0,0,1,0,1,Faible
804595158,Client actuel,44,F,4,Licence,Célibataire,Moins de $40K,Blue,36,4,2,2517,23,0.36,1,0,0,1,0,2,Modéré
714826758,Client actuel,37,F,3,Sans diplôme,Célibataire,Moins de $40K,Blue,29,4,2,1801,57,0.256,1,0,0,0,0,1,Faible
779058108,Client actuel,49,M,3,Licence,Divorcé(e),$60K - $80K,Blue,30,1,2,1823,23,0.719,0,0,0,1,0,1,Faible
710790258,Client actuel,47,M,2,Licence,Célibataire,$80K - $120K,Blue,38,3,2,1899,35,0.066,0,0,0,1,1,2,Modéré
715623483,Client actuel,47,M,3,Licence,Marié(e),$60K - $80K,Blue,37,4,0,1695,41,0.198,1,0,0,1,0,2,Modéré
715156383,Client actuel,44,M,1,Non connu,Non connu,$120K +,Blue,36,2,2,1533,29,0.044,0,0,0,1,1,2,Modéré
755420433,Client actuel,59,F,1,Licence,Marié(e),Non connu,Blue,52,3,3,1417,20,0.14,0,0,0,1,1,2,Modéré
794543958,Client actuel,53,M,1,Licence,Divorcé(e),$80K - $120K,Blue,35,4,2,1219,27,0.035,1,0,0,1,1,3,Modéré
716396358,Client actuel,52,M,2,Licence,Célibataire,$60K - $80K,Blue,47,3,0,1910,35,0.619,0,0,0,1,0,1,Faible
715398033,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Célibataire,$120K +,Blue,35,2,1,2056,31,0.108,0,0,0,1,1,2,Modéré
711743883,Client actuel,43,F,3,Sans diplôme,Célibataire,Moins de $40K,Blue,35,2,3,0,32,0.0,0,0,1,1,1,3,Modéré
719720058,Client actuel,44,M,3,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,31,3,1,837,14,0.066,0,0,0,1,1,2,Modéré
778992108,Client actuel,57,M,2,Non connu,Célibataire,$120K +,Blue,45,3,3,0,29,0.0,0,0,1,1,1,3,Modéré
717539808,Client actuel,51,F,2,Lycée (équivalent baccalauréat),Célibataire,Moins de $40K,Blue,36,2,2,0,21,0.0,0,0,1,1,1,3,Modéré
714070758,Client actuel,49,M,4,Lycée (équivalent baccalauréat),Marié(e),$80K - $120K,Blue,38,3,0,1953,35,0.062,0,0,0,1,1,2,Modéré
714107958,Client actuel,45,M,1,Licence,Célibataire,$40K - $60K,Blue,36,4,3,0,34,0.0,1,0,1,1,1,4,Élevé
789140283,Client actuel,53,M,0,Licence,Célibataire,$80K - $120K,Blue,42,4,1,2037,29,0.765,1,0,0,1,0,2,Modéré
715550508,Client actuel,45,F,3,Non connu,Marié(e),Non connu,Blue,28,1,2,2440,20,0.963,0,0,0,1,0,1,Faible
719712633,Client actuel,64,M,1,Licence,Marié(e),Moins de $40K,Blue,52,4,3,895,32,0.524,1,0,0,1,0,2,Modéré
772629333,Client actuel,45,M,3,Licence,Marié(e),$40K - $60K,Blue,35,4,2,1200,30,0.347,1,0,0,1,0,2,Modéré
720336708,Client actuel,53,M,3,Doctorat,Marié(e),$40K - $60K,Blue,35,3,2,1706,42,0.45,0,0,0,1,0,1,Faible
802013583,Client actuel,56,M,3,Niveau Bac+2,Marié(e),$120K +,Blue,50,2,0,2250,19,0.232,0,0,0,1,0,1,Faible
714778833,Client actuel,49,F,3,Niveau Bac+2,Célibataire,Non connu,Blue,43,4,0,1960,22,0.085,1,0,0,1,1,3,Modéré
713843283,Client actuel,41,F,3,Non connu,Marié(e),Non connu,Silver,34,3,3,2053,26,0.059,0,0,0,1,1,2,Modéré
779155158,Client actuel,53,M,3,Licence,Marié(e),$120K +,Blue,34,2,2,1264,33,0.43,0,0,0,1,0,1,Faible
721091583,Client actuel,44,F,2,Licence,Célibataire,Moins de $40K,Blue,32,3,3,1879,15,0.62,0,0,0,1,0,1,Faible
713572683,Client actuel,44,M,3,Lycée (équivalent baccalauréat),Non connu,$60K - $80K,Blue,25,3,0,0,34,0.0,0,0,1,1,1,3,Modéré
716657058,Client actuel,43,F,4,Master,Marié(e),Moins de $40K,Blue,33,3,3,926,37,0.111,0,0,0,1,1,2,Modéré
779509983,Client actuel,53,M,2,Master,Célibataire,$120K +,Blue,36,1,2,931,21,0.027,0,0,0,1,1,2,Modéré
717929133,Client actuel,44,M,1,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,3,2440,30,0.169,0,0,0,1,0,1,Faible
808284783,Client actuel,62,F,1,Non connu,Marié(e),Moins de $40K,Blue,56,0,0,0,44,0.0,0,0,1,1,1,3,Modéré
708476808,Client actuel,54,M,4,Non connu,Divorcé(e),$120K +,Blue,36,3,2,1960,31,0.058,0,0,0,1,1,2,Modéré
710916408,Client actuel,57,M,4,Licence,Marié(e),$60K - $80K,Blue,39,3,0,1886,32,0.223,0,0,0,1,0,1,Faible
708492558,Client actuel,42,M,3,Non connu,Marié(e),$60K - $80K,Blue,36,3,3,865,21,0.057,0,0,0,1,1,2,Modéré
799825758,Client actuel,42,M,4,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,36,1,2,1674,35,0.513,0,0,0,1,0,1,Faible
718619883,Client actuel,54,F,0,Sans diplôme,Marié(e),Moins de $40K,Blue,36,2,2,706,24,0.473,0,0,0,1,0,1,Faible
711844758,Client actuel,48,M,3,Licence,Célibataire,$80K - $120K,Blue,35,1,0,1294,37,0.095,0,0,0,1,1,2,Modéré
714798783,Client actuel,49,M,1,Licence,Célibataire,$80K - $120K,Blue,36,2,2,895,18,0.047,0,0,0,1,1,2,Modéré
826762908,Client actuel,52,M,3,Lycée (équivalent baccalauréat),Non connu,$80K - $120K,Blue,48,2,0,1273,36,0.106,0,0,0,1,1,2,Modéré
771894558,Client actuel,50,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,39,1,4,1559,25,0.156,0,1,0,1,1,3,Modéré
721074183,Client actuel,49,M,1,Doctorat,Célibataire,$60K - $80K,Blue,36,6,3,1196,24,0.05,1,0,0,1,1,3,Modéré
715259583,Client actuel,53,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,44,2,3,1901,38,0.355,0,0,0,1,0,1,Faible
718414008,Client actuel,50,M,2,Licence,Célibataire,$120K +,Blue,36,2,2,1023,13,0.03,0,0,0,1,1,2,Modéré
719666283,Client actuel,55,F,1,Doctorat,Marié(e),Moins de $40K,Blue,36,1,0,1951,29,0.615,0,0,0,1,0,1,Faible
714877233,Client actuel,53,M,1,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,47,2,2,1836,38,0.15,0,0,0,1,1,2,Modéré
785387883,Client actuel,47,F,3,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,41,3,3,1540,47,0.407,0,0,0,0,0,0,Faible
771075258,Client actuel,55,M,2,Niveau Bac+2,Célibataire,$120K +,Silver,42,3,2,1527,42,0.044,0,0,0,1,1,2,Modéré
711318033,Client actuel,47,M,3,Licence,Célibataire,$60K - $80K,Blue,36,2,2,0,24,0.0,0,0,1,1,1,3,Modéré
783554958,Client actuel,58,M,4,Licence,Célibataire,$120K +,Blue,52,1,0,0,30,0.0,0,0,1,1,1,3,Modéré
718039683,Client actuel,52,M,2,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,45,1,2,1300,29,0.096,0,0,0,1,1,2,Modéré
710806083,Client actuel,50,F,1,Sans diplôme,Non connu,Moins de $40K,Silver,36,2,2,2090,30,0.176,0,0,0,1,0,1,Faible
714752208,Client actuel,42,F,1,Licence,Marié(e),Moins de $40K,Blue,36,1,2,1985,16,0.83,0,0,0,1,0,1,Faible
822063408,Client actuel,43,M,4,Non connu,Marié(e),$40K - $60K,Blue,39,1,2,2517,16,0.412,0,0,0,1,0,1,Faible
714490308,Client actuel,57,M,4,Licence,Marié(e),$80K - $120K,Blue,46,2,3,1662,28,0.086,0,0,0,1,1,2,Modéré
713356833,Client actuel,52,M,1,Licence,Célibataire,$80K - $120K,Blue,43,1,4,2517,34,0.678,0,1,0,1,0,2,Modéré
711402333,Client actuel,47,M,2,Doctorat,Célibataire,Moins de $40K,Blue,37,1,3,797,32,0.246,0,0,0,1,0,1,Faible
708296883,Client actuel,44,F,3,Licence,Célibataire,$40K - $60K,Blue,38,1,0,788,27,0.067,0,0,0,1,1,2,Modéré
719154483,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,36,3,2,2100,26,0.271,0,0,0,1,0,1,Faible
717721458,Client actuel,45,M,4,Niveau Bac+2,Divorcé(e),$60K - $80K,Blue,40,1,0,1186,42,0.114,0,0,0,1,1,2,Modéré
711112683,Client actuel,63,F,1,Niveau Bac+2,Marié(e),Non connu,Blue,36,2,3,1568,29,0.395,0,0,0,1,0,1,Faible
715674483,Client actuel,39,F,2,Master,Célibataire,Moins de $40K,Blue,27,2,2,2517,19,0.406,0,0,0,1,0,1,Faible
789968058,Client actuel,51,M,1,Non connu,Célibataire,$120K +,Blue,42,2,3,2327,18,0.258,0,0,0,1,0,1,Faible
709919283,Client actuel,54,M,4,Licence,Marié(e),$80K - $120K,Blue,34,3,2,2517,25,0.169,0,0,0,1,0,1,Faible
718744008,Client actuel,59,F,1,Licence,Célibataire,Moins de $40K,Blue,36,2,3,1128,20,0.178,0,0,0,1,0,1,Faible
716104983,Client actuel,41,F,2,Licence,Célibataire,Moins de $40K,Blue,32,3,2,2117,31,0.941,0,0,0,1,0,1,Faible
818839983,Client actuel,55,M,2,Licence,Célibataire,$120K +,Blue,50,2,0,1536,34,0.141,0,0,0,1,1,2,Modéré
772288758,Client actuel,47,F,4,Licence,Marié(e),Non connu,Blue,36,1,3,1228,30,0.23,0,0,0,1,0,1,Faible
712350858,Client actuel,41,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,24,1,3,1104,39,0.118,0,0,0,1,1,2,Modéré
711009708,Client actuel,40,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,28,1,0,0,22,0.0,0,0,1,1,1,3,Modéré
712720158,Client actuel,68,M,1,Licence,Marié(e),Non connu,Blue,56,2,3,1652,32,0.119,0,0,0,1,1,2,Modéré
712215258,Client actuel,50,F,1,Licence,Célibataire,$40K - $60K,Silver,31,2,3,0,22,0.0,0,0,1,1,1,3,Modéré
773827008,Client actuel,47,M,4,Sans diplôme,Célibataire,$60K - $80K,Blue,41,2,2,1540,29,0.64,0,0,0,1,0,1,Faible
795232683,Client actuel,53,F,1,Niveau Bac+2,Marié(e),Moins de $40K,Blue,47,2,3,930,26,0.432,0,0,0,1,0,1,Faible
713786508,Client actuel,42,F,5,Non connu,Marié(e),$40K - $60K,Blue,36,3,3,0,28,0.0,0,0,1,1,1,3,Modéré
713539833,Client actuel,48,F,4,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,38,1,3,0,29,0.0,0,0,1,1,1,3,Modéré
712454058,Client actuel,49,M,1,Doctorat,Célibataire,$120K +,Blue,38,1,3,618,27,0.066,0,0,1,1,1,3,Modéré
718759833,Client actuel,44,F,2,Sans diplôme,Marié(e),Non connu,Silver,35,3,2,0,24,0.0,0,0,1,1,1,3,Modéré
718803333,Client actuel,43,F,4,Licence,Divorcé(e),Moins de $40K,Blue,34,3,1,1954,29,0.612,0,0,0,1,0,1,Faible
720253908,Client actuel,56,M,0,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,43,2,1,1024,28,0.359,0,0,0,1,0,1,Faible
714133158,Client actuel,59,F,1,Niveau Bac+2,Célibataire,Non connu,Blue,36,3,3,1305,31,0.309,0,0,0,1,0,1,Faible
713187033,Client actuel,46,M,1,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,2,2071,38,0.101,0,0,0,1,1,2,Modéré
714791208,Client actuel,47,F,4,Non connu,Divorcé(e),Moins de $40K,Blue,41,5,3,2114,24,0.607,1,0,0,1,0,2,Modéré
772426383,Client actuel,50,F,4,Sans diplôme,Marié(e),$40K - $60K,Blue,40,2,3,1570,28,0.512,0,0,0,1,0,1,Faible
710975883,Client actuel,51,F,3,Sans diplôme,Marié(e),Moins de $40K,Blue,43,1,2,1761,30,0.806,0,0,0,1,0,1,Faible
714264408,Client actuel,47,F,3,Sans diplôme,Marié(e),Moins de $40K,Blue,36,1,0,746,29,0.463,0,0,0,1,0,1,Faible
715827858,Client actuel,58,F,4,Sans diplôme,Marié(e),Moins de $40K,Blue,47,3,3,2173,23,0.77,0,0,0,1,0,1,Faible
709531908,Client actuel,53,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,47,2,2,0,53,0.0,0,0,1,0,1,2,Modéré
716493408,Client actuel,45,F,4,Sans diplôme,Divorcé(e),Non connu,Blue,36,3,3,1719,37,0.108,0,0,0,1,1,2,Modéré
714141108,Client actuel,52,F,1,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,45,3,3,893,28,0.133,0,0,0,1,1,2,Modéré
712608783,Client actuel,50,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Silver,45,1,3,1260,34,0.037,0,0,0,1,1,2,Modéré
820353558,Client actuel,41,F,3,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,36,1,2,1434,34,0.146,0,0,0,1,1,2,Modéré
714964758,Client actuel,45,F,5,Licence,Divorcé(e),$40K - $60K,Blue,36,2,2,1777,28,0.171,0,0,0,1,0,1,Faible
716264358,Client actuel,53,M,3,Sans diplôme,Célibataire,$80K - $120K,Blue,42,1,2,1836,47,0.069,0,0,0,0,1,1,Faible
717296808,Client actuel,67,F,1,Licence,Marié(e),Moins de $40K,Blue,56,3,2,2517,32,0.837,0,0,0,1,0,1,Faible
712977183,Client actuel,57,F,2,Sans diplôme,Célibataire,$40K - $60K,Silver,36,3,0,1072,22,0.055,0,0,0,1,1,2,Modéré
710829108,Client actuel,59,F,1,Sans diplôme,Marié(e),$40K - $60K,Blue,36,2,3,985,28,0.294,0,0,0,1,0,1,Faible
779562633,Client actuel,45,M,2,Sans diplôme,Marié(e),$40K - $60K,Blue,34,2,1,2248,18,0.39,0,0,0,1,0,1,Faible
715315833,Client actuel,51,M,3,Licence,Célibataire,$80K - $120K,Blue,36,2,3,2107,24,0.19,0,0,0,1,0,1,Faible
815500983,Client actuel,59,F,1,Sans diplôme,Marié(e),Moins de $40K,Blue,54,3,0,2001,36,0.692,0,0,0,1,0,1,Faible
719360583,Client actuel,53,M,1,Licence,Célibataire,$60K - $80K,Blue,45,2,2,1701,25,0.503,0,0,0,1,0,1,Faible
709701558,Client actuel,47,M,3,Licence,Marié(e),$60K - $80K,Blue,36,1,2,1251,50,0.059,0,0,0,0,1,1,Faible
721148358,Client actuel,49,F,3,Sans diplôme,Célibataire,Non connu,Blue,38,2,1,0,27,0.0,0,0,1,1,1,3,Modéré
779862408,Client actuel,49,M,3,Master,Célibataire,$80K - $120K,Blue,33,1,0,462,33,0.074,0,0,1,1,1,3,Modéré
812627208,Client actuel,60,F,0,Niveau Bac+2,Célibataire,Moins de $40K,Blue,55,1,3,738,33,0.513,0,0,0,1,0,1,Faible
711033408,Client actuel,50,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,36,1,2,1626,28,0.174,0,0,0,1,0,1,Faible
779956608,Client actuel,41,F,2,Master,Marié(e),Non connu,Blue,31,1,3,0,32,0.0,0,0,1,1,1,3,Modéré
780376683,Client actuel,57,M,1,Licence,Célibataire,$80K - $120K,Blue,47,3,1,1976,24,0.135,0,0,0,1,1,2,Modéré
717912483,Client actuel,43,M,4,Licence,Non connu,$80K - $120K,Blue,27,2,0,0,35,0.0,0,0,1,1,1,3,Modéré
714454758,Client actuel,57,F,3,Licence,Marié(e),Moins de $40K,Blue,47,2,3,1594,37,0.251,0,0,0,1,0,1,Faible
780466533,Client actuel,54,M,3,Doctorat,Marié(e),$120K +,Blue,41,3,0,1676,52,0.078,0,0,0,0,1,1,Faible
715735233,Client actuel,51,F,5,Master,Marié(e),Moins de $40K,Blue,44,1,1,1598,42,0.463,0,0,0,1,0,1,Faible
720476733,Client actuel,47,F,3,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,34,1,2,799,22,0.133,0,0,0,1,1,2,Modéré
715872333,Client actuel,41,M,0,Lycée (équivalent baccalauréat),Non connu,$120K +,Blue,36,2,3,1998,21,0.11,0,0,0,1,1,2,Modéré
712375758,Client actuel,53,M,3,Sans diplôme,Célibataire,$80K - $120K,Blue,43,3,1,1423,42,0.087,0,0,0,1,1,2,Modéré
718030083,Client actuel,59,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,36,1,2,1687,22,0.214,0,0,0,1,0,1,Faible
720707283,Client actuel,48,M,4,Non connu,Marié(e),$80K - $120K,Blue,36,3,0,866,42,0.164,0,0,0,1,0,1,Faible
771698658,Client actuel,44,M,5,Licence,Marié(e),$60K - $80K,Blue,32,5,3,2006,27,0.176,1,0,0,1,0,2,Modéré
