N° du client,Statut du client,Âge du client,Genre du client,Nb de personnes à charge,Niveau de diplôme,Statut marital,Catégorie du revenu annuel,Type de carte,Durée d'engagement en mois,Nb de mois inactif,Nb d'interactions,Montant crédit renouvellé,Nb de transactions,Utilisation moyenne de la carte
806165208,Client actuel,47,M,1,Doctorat,Divorcé(e),$60K - $80K,Blue,42,2,0,1800,27,0.086
708508758,Client perdu,62,F,0,Licence,Marié(e),$60K - $80K,Blue,49,4,3,0,16,0.0
784725333,Client actuel,41,M,3,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,33,2,1,680,18,0.152
811604133,Client actuel,47,F,4,Non connu,Célibataire,Moins de $40K,Blue,36,3,2,1560,23,0.626
789124683,Client actuel,54,M,2,Non connu,Célibataire,$80K - $120K,Blue,42,2,3,0,21,0.0
771071958,Client actuel,41,F,3,Licence,Célibataire,Moins de $40K,Blue,28,1,2,1669,22,0.215
720466383,Client actuel,59,M,1,Lycée (équivalent baccalauréat),Non connu,$40K - $60K,Blue,46,1,2,1374,23,0.093
804424383,Client actuel,63,M,1,Non connu,Célibataire,$60K - $80K,Blue,56,3,2,1010,40,0.099
718813833,Client actuel,44,F,3,Sans diplôme,Célibataire,Non connu,Blue,34,2,2,0,18,0.0
806624208,Client actuel,47,M,4,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,42,0,0,1362,38,0.285
778348233,Client actuel,53,M,3,Non connu,Célibataire,$80K - $120K,Blue,33,2,3,1811,25,0.658
712991808,Client actuel,53,M,2,Sans diplôme,Célibataire,$60K - $80K,Blue,48,5,1,1690,26,0.69
709029408,Client actuel,41,M,4,Licence,Marié(e),$60K - $80K,Blue,36,1,2,2517,24,0.282
788658483,Client actuel,53,F,2,Niveau Bac+2,Marié(e),Moins de $40K,Blue,38,2,3,1490,28,0.562
787937058,Client actuel,58,M,0,Licence,Célibataire,$80K - $120K,Blue,49,2,2,1696,24,0.135
715318008,Client actuel,55,F,1,Niveau Bac+2,Célibataire,Moins de $40K,Blue,36,2,1,1914,43,0.544
713962233,Client actuel,55,F,3,Licence,Marié(e),Moins de $40K,Blue,36,2,3,2298,37,0.757
785432733,Client actuel,42,F,4,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Gold,36,3,3,0,22,0.0
715190283,Client actuel,57,F,1,Licence,Non connu,$40K - $60K,Blue,49,3,2,886,28,0.241
708300483,Client perdu,66,F,0,Doctorat,Marié(e),Non connu,Blue,56,5,3,605,16,0.077
827111283,Client actuel,45,M,3,Licence,Célibataire,$80K - $120K,Blue,41,2,2,578,28,0.018
758551608,Client actuel,51,M,2,Non connu,Marié(e),$40K - $60K,Blue,44,1,0,2204,28,0.355
773146383,Client actuel,50,F,1,Niveau Bac+2,Célibataire,$40K - $60K,Silver,43,2,3,2517,33,0.145
778493808,Client actuel,49,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,37,2,1,0,32,0.0
720572508,Client actuel,38,F,4,Licence,Célibataire,Non connu,Blue,28,3,3,2055,23,0.209
712661433,Client actuel,49,M,4,Sans diplôme,Célibataire,$80K - $120K,Blue,30,2,3,0,28,0.0
789172683,Client actuel,56,M,2,Doctorat,Célibataire,$60K - $80K,Blue,45,2,0,1430,27,0.626
738406533,Client actuel,59,M,1,Doctorat,Marié(e),$40K - $60K,Blue,52,2,2,2020,27,0.793
799723908,Client actuel,46,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,40,3,3,1435,27,0.074
771490833,Client actuel,52,M,1,Niveau Bac+2,Célibataire,$80K - $120K,Blue,40,1,1,1227,40,0.259
720756708,Client actuel,52,F,3,Non connu,Marié(e),Moins de $40K,Blue,41,3,2,1549,30,0.591
779471883,Client perdu,54,F,1,Licence,Marié(e),$80K - $120K,Blue,40,5,1,808,19,0.562
711525033,Client actuel,66,F,0,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,54,4,2,2179,38,0.687
712813458,Client actuel,49,M,2,Non connu,Célibataire,$120K +,Blue,36,2,0,2517,35,0.127
714374133,Client perdu,56,M,2,Licence,Marié(e),$120K +,Blue,36,4,3,0,15,0.0
717891558,Client actuel,49,F,4,Licence,Non connu,Moins de $40K,Blue,36,4,2,2200,32,0.667
716632758,Client actuel,49,F,3,Licence,Célibataire,Moins de $40K,Blue,36,2,0,2363,40,0.843
768563658,Client actuel,56,M,2,Sans diplôme,Marié(e),$40K - $60K,Blue,50,2,3,1880,29,0.422
711427458,Client actuel,44,F,5,Licence,Marié(e),Non connu,Blue,35,1,2,978,25,0.156
714091983,Client actuel,42,M,2,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,34,4,3,1753,27,0.525
787584108,Client actuel,55,M,3,Non connu,Célibataire,$80K - $120K,Blue,47,2,3,2016,33,0.587
712030833,Client perdu,48,M,2,Licence,Marié(e),$60K - $80K,Silver,35,6,4,0,15,0.0
711481533,Client actuel,39,M,1,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,33,3,3,1251,28,0.211
710082708,Client actuel,44,M,4,Master,Célibataire,$120K +,Blue,32,4,2,2102,26,0.088
708155733,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Célibataire,$120K +,Blue,44,2,2,1634,23,0.111
788979258,Client actuel,51,M,4,Sans diplôme,Célibataire,$80K - $120K,Silver,38,1,4,1515,32,0.044
807986133,Client actuel,57,M,2,Niveau Bac+2,Célibataire,$60K - $80K,Blue,52,3,3,1817,35,0.276
788730933,Client actuel,44,F,2,Sans diplôme,Célibataire,Moins de $40K,Blue,20,3,3,1468,28,0.704
711314058,Client actuel,49,M,2,Licence,Célibataire,$60K - $80K,Blue,32,2,2,1107,17,0.656
717975333,Client actuel,50,M,2,Doctorat,Célibataire,$80K - $120K,Blue,38,2,2,1330,15,0.053
715971108,Client actuel,51,M,4,Licence,Célibataire,$120K +,Blue,42,2,3,1763,41,0.051
720096558,Client actuel,55,F,2,Licence,Marié(e),Moins de $40K,Blue,42,3,3,1034,36,0.467
719580033,Client actuel,54,M,1,Licence,Non connu,$60K - $80K,Blue,43,2,3,2030,21,0.698
820582308,Client actuel,42,M,5,Sans diplôme,Marié(e),$80K - $120K,Blue,37,2,2,1528,35,0.067
789973308,Client actuel,44,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,35,3,3,1932,24,0.079
712876233,Client actuel,53,M,2,Licence,Célibataire,$80K - $120K,Blue,36,3,2,1515,33,0.287
804595158,Client actuel,44,F,4,Licence,Célibataire,Moins de $40K,Blue,36,4,2,2517,23,0.36
714826758,Client actuel,37,F,3,Sans diplôme,Célibataire,Moins de $40K,Blue,29,4,2,1801,57,0.256
779058108,Client actuel,49,M,3,Licence,Divorcé(e),$60K - $80K,Blue,30,1,2,1823,23,0.719
710790258,Client actuel,47,M,2,Licence,Célibataire,$80K - $120K,Blue,38,3,2,1899,35,0.066
715623483,Client actuel,47,M,3,Licence,Marié(e),$60K - $80K,Blue,37,4,0,1695,41,0.198
715156383,Client actuel,44,M,1,Non connu,Non connu,$120K +,Blue,36,2,2,1533,29,0.044
711013983,Client perdu,55,F,4,Non connu,Marié(e),$40K - $60K,Blue,45,5,3,0,12,0.0
755420433,Client actuel,59,F,1,Licence,Marié(e),Non connu,Blue,52,3,3,1417,20,0.14
794543958,Client actuel,53,M,1,Licence,Divorcé(e),$80K - $120K,Blue,35,4,2,1219,27,0.035
716396358,Client actuel,52,M,2,Licence,Célibataire,$60K - $80K,Blue,47,3,0,1910,35,0.619
715398033,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Célibataire,$120K +,Blue,35,2,1,2056,31,0.108
711743883,Client actuel,43,F,3,Sans diplôme,Célibataire,Moins de $40K,Blue,35,2,3,0,32,0.0
719720058,Client actuel,44,M,3,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,31,3,1,837,14,0.066
778992108,Client actuel,57,M,2,Non connu,Célibataire,$120K +,Blue,45,3,3,0,29,0.0
717539808,Client actuel,51,F,2,Lycée (équivalent baccalauréat),Célibataire,Moins de $40K,Blue,36,2,2,0,21,0.0
714070758,Client actuel,49,M,4,Lycée (équivalent baccalauréat),Marié(e),$80K - $120K,Blue,38,3,0,1953,35,0.062
714107958,Client actuel,45,M,1,Licence,Célibataire,$40K - $60K,Blue,36,4,3,0,34,0.0
789140283,Client actuel,53,M,0,Licence,Célibataire,$80K - $120K,Blue,42,4,1,2037,29,0.765
715550508,Client actuel,45,F,3,Non connu,Marié(e),Non connu,Blue,28,1,2,2440,20,0.963
719712633,Client actuel,64,M,1,Licence,Marié(e),Moins de $40K,Blue,52,4,3,895,32,0.524
772629333,Client actuel,45,M,3,Licence,Marié(e),$40K - $60K,Blue,35,4,2,1200,30,0.347
720336708,Client actuel,53,M,3,Doctorat,Marié(e),$40K - $60K,Blue,35,3,2,1706,42,0.45
802013583,Client actuel,56,M,3,Niveau Bac+2,Marié(e),$120K +,Blue,50,2,0,2250,19,0.232
711887583,Client perdu,47,M,2,Non connu,Marié(e),$80K - $120K,Blue,37,5,3,1628,18,0.299
714778833,Client actuel,49,F,3,Niveau Bac+2,Célibataire,Non connu,Blue,43,4,0,1960,22,0.085
713843283,Client actuel,41,F,3,Non connu,Marié(e),Non connu,Silver,34,3,3,2053,26,0.059
779155158,Client actuel,53,M,3,Licence,Marié(e),$120K +,Blue,34,2,2,1264,33,0.43
721091583,Client actuel,44,F,2,Licence,Célibataire,Moins de $40K,Blue,32,3,3,1879,15,0.62
713572683,Client actuel,44,M,3,Lycée (équivalent baccalauréat),Non connu,$60K - $80K,Blue,25,3,0,0,34,0.0
716657058,Client actuel,43,F,4,Master,Marié(e),Moins de $40K,Blue,33,3,3,926,37,0.111
779509983,Client actuel,53,M,2,Master,Célibataire,$120K +,Blue,36,1,2,931,21,0.027
717929133,Client actuel,44,M,1,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,3,2440,30,0.169
808284783,Client actuel,62,F,1,Non connu,Marié(e),Moins de $40K,Blue,56,0,0,0,44,0.0
708476808,Client actuel,54,M,4,Non connu,Divorcé(e),$120K +,Blue,36,3,2,1960,31,0.058
710916408,Client actuel,57,M,4,Licence,Marié(e),$60K - $80K,Blue,39,3,0,1886,32,0.223
708492558,Client actuel,42,M,3,Non connu,Marié(e),$60K - $80K,Blue,36,3,3,865,21,0.057
799825758,Client actuel,42,M,4,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,36,1,2,1674,35,0.513
718619883,Client actuel,54,F,0,Sans diplôme,Marié(e),Moins de $40K,Blue,36,2,2,706,24,0.473
711844758,Client actuel,48,M,3,Licence,Célibataire,$80K - $120K,Blue,35,1,0,1294,37,0.095
714798783,Client actuel,49,M,1,Licence,Célibataire,$80K - $120K,Blue,36,2,2,895,18,0.047
826762908,Client actuel,52,M,3,Lycée (équivalent baccalauréat),Non connu,$80K - $120K,Blue,48,2,0,1273,36,0.106
771894558,Client actuel,50,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,39,1,4,1559,25,0.156
721074183,Client actuel,49,M,1,Doctorat,Célibataire,$60K - $80K,Blue,36,6,3,1196,24,0.05
715259583,Client actuel,53,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,44,2,3,1901,38,0.355
718414008,Client actuel,50,M,2,Licence,Célibataire,$120K +,Blue,36,2,2,1023,13,0.03
719666283,Client actuel,55,F,1,Doctorat,Marié(e),Moins de $40K,Blue,36,1,0,1951,29,0.615
714877233,Client actuel,53,M,1,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,47,2,2,1836,38,0.15
785387883,Client actuel,47,F,3,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,41,3,3,1540,47,0.407
771075258,Client actuel,55,M,2,Niveau Bac+2,Célibataire,$120K +,Silver,42,3,2,1527,42,0.044
711318033,Client actuel,47,M,3,Licence,Célibataire,$60K - $80K,Blue,36,2,2,0,24,0.0
783554958,Client actuel,58,M,4,Licence,Célibataire,$120K +,Blue,52,1,0,0,30,0.0
720201033,Client perdu,53,M,2,Licence,Marié(e),$80K - $120K,Blue,41,5,2,2227,23,0.191
718039683,Client actuel,52,M,2,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,45,1,2,1300,29,0.096
710806083,Client actuel,50,F,1,Sans diplôme,Non connu,Moins de $40K,Silver,36,2,2,2090,30,0.176
714752208,Client actuel,42,F,1,Licence,Marié(e),Moins de $40K,Blue,36,1,2,1985,16,0.83
822063408,Client actuel,43,M,4,Non connu,Marié(e),$40K - $60K,Blue,39,1,2,2517,16,0.412
714490308,Client actuel,57,M,4,Licence,Marié(e),$80K - $120K,Blue,46,2,3,1662,28,0.086
713356833,Client actuel,52,M,1,Licence,Célibataire,$80K - $120K,Blue,43,1,4,2517,34,0.678
711402333,Client actuel,47,M,2,Doctorat,Célibataire,Moins de $40K,Blue,37,1,3,797,32,0.246
708296883,Client actuel,44,F,3,Licence,Célibataire,$40K - $60K,Blue,38,1,0,788,27,0.067
719154483,Client actuel,53,M,2,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,36,3,2,2100,26,0.271
717721458,Client actuel,45,M,4,Niveau Bac+2,Divorcé(e),$60K - $80K,Blue,40,1,0,1186,42,0.114
711112683,Client actuel,63,F,1,Niveau Bac+2,Marié(e),Non connu,Blue,36,2,3,1568,29,0.395
715674483,Client actuel,39,F,2,Master,Célibataire,Moins de $40K,Blue,27,2,2,2517,19,0.406
789322833,Client perdu,48,F,5,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,38,5,3,0,18,0.0
789968058,Client actuel,51,M,1,Non connu,Célibataire,$120K +,Blue,42,2,3,2327,18,0.258
709919283,Client actuel,54,M,4,Licence,Marié(e),$80K - $120K,Blue,34,3,2,2517,25,0.169
718744008,Client actuel,59,F,1,Licence,Célibataire,Moins de $40K,Blue,36,2,3,1128,20,0.178
767712558,Client perdu,59,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,53,5,3,0,10,0.0
712950783,Client perdu,48,F,4,Sans diplôme,Marié(e),$40K - $60K,Blue,38,2,3,0,16,0.0
716104983,Client actuel,41,F,2,Licence,Célibataire,Moins de $40K,Blue,32,3,2,2117,31,0.941
818839983,Client actuel,55,M,2,Licence,Célibataire,$120K +,Blue,50,2,0,1536,34,0.141
772288758,Client actuel,47,F,4,Licence,Marié(e),Non connu,Blue,36,1,3,1228,30,0.23
712350858,Client actuel,41,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,24,1,3,1104,39,0.118
711009708,Client actuel,40,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,28,1,0,0,22,0.0
712720158,Client actuel,68,M,1,Licence,Marié(e),Non connu,Blue,56,2,3,1652,32,0.119
712215258,Client actuel,50,F,1,Licence,Célibataire,$40K - $60K,Silver,31,2,3,0,22,0.0
773827008,Client actuel,47,M,4,Sans diplôme,Célibataire,$60K - $80K,Blue,41,2,2,1540,29,0.64
795232683,Client actuel,53,F,1,Niveau Bac+2,Marié(e),Moins de $40K,Blue,47,2,3,930,26,0.432
713786508,Client actuel,42,F,5,Non connu,Marié(e),$40K - $60K,Blue,36,3,3,0,28,0.0
713539833,Client actuel,48,F,4,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,38,1,3,0,29,0.0
712454058,Client actuel,49,M,1,Doctorat,Célibataire,$120K +,Blue,38,1,3,618,27,0.066
718759833,Client actuel,44,F,2,Sans diplôme,Marié(e),Non connu,Silver,35,3,2,0,24,0.0
718803333,Client actuel,43,F,4,Licence,Divorcé(e),Moins de $40K,Blue,34,3,1,1954,29,0.612
720253908,Client actuel,56,M,0,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,43,2,1,1024,28,0.359
714133158,Client actuel,59,F,1,Niveau Bac+2,Célibataire,Non connu,Blue,36,3,3,1305,31,0.309
713187033,Client actuel,46,M,1,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,2,2071,38,0.101
714791208,Client actuel,47,F,4,Non connu,Divorcé(e),Moins de $40K,Blue,41,5,3,2114,24,0.607
772426383,Client actuel,50,F,4,Sans diplôme,Marié(e),$40K - $60K,Blue,40,2,3,1570,28,0.512
710975883,Client actuel,51,F,3,Sans diplôme,Marié(e),Moins de $40K,Blue,43,1,2,1761,30,0.806
714264408,Client actuel,47,F,3,Sans diplôme,Marié(e),Moins de $40K,Blue,36,1,0,746,29,0.463
715827858,Client actuel,58,F,4,Sans diplôme,Marié(e),Moins de $40K,Blue,47,3,3,2173,23,0.77
713741358,Client perdu,46,M,5,Licence,Marié(e),$80K - $120K,Blue,33,5,3,2517,17,0.076
709531908,Client actuel,53,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,47,2,2,0,53,0.0
716493408,Client actuel,45,F,4,Sans diplôme,Divorcé(e),Non connu,Blue,36,3,3,1719,37,0.108
714141108,Client actuel,52,F,1,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,45,3,3,893,28,0.133
708953883,Client perdu,53,M,2,Non connu,Marié(e),$80K - $120K,Blue,36,2,1,0,20,0.0
712608783,Client actuel,50,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Silver,45,1,3,1260,34,0.037
820353558,Client actuel,41,F,3,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,36,1,2,1434,34,0.146
714964758,Client actuel,45,F,5,Licence,Divorcé(e),$40K - $60K,Blue,36,2,2,1777,28,0.171
716264358,Client actuel,53,M,3,Sans diplôme,Célibataire,$80K - $120K,Blue,42,1,2,1836,47,0.069
717296808,Client actuel,67,F,1,Licence,Marié(e),Moins de $40K,Blue,56,3,2,2517,32,0.837
712977183,Client actuel,57,F,2,Sans diplôme,Célibataire,$40K - $60K,Silver,36,3,0,1072,22,0.055
710829108,Client actuel,59,F,1,Sans diplôme,Marié(e),$40K - $60K,Blue,36,2,3,985,28,0.294
779562633,Client actuel,45,M,2,Sans diplôme,Marié(e),$40K - $60K,Blue,34,2,1,2248,18,0.39
715315833,Client actuel,51,M,3,Licence,Célibataire,$80K - $120K,Blue,36,2,3,2107,24,0.19
815500983,Client actuel,59,F,1,Sans diplôme,Marié(e),Moins de $40K,Blue,54,3,0,2001,36,0.692
719360583,Client actuel,53,M,1,Licence,Célibataire,$60K - $80K,Blue,45,2,2,1701,25,0.503
709701558,Client actuel,47,M,3,Licence,Marié(e),$60K - $80K,Blue,36,1,2,1251,50,0.059
721148358,Client actuel,49,F,3,Sans diplôme,Célibataire,Non connu,Blue,38,2,1,0,27,0.0
779862408,Client actuel,49,M,3,Master,Célibataire,$80K - $120K,Blue,33,1,0,462,33,0.074
812627208,Client actuel,60,F,0,Niveau Bac+2,Célibataire,Moins de $40K,Blue,55,1,3,738,33,0.513
711033408,Client actuel,50,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,36,1,2,1626,28,0.174
779956608,Client actuel,41,F,2,Master,Marié(e),Non connu,Blue,31,1,3,0,32,0.0
780376683,Client actuel,57,M,1,Licence,Célibataire,$80K - $120K,Blue,47,3,1,1976,24,0.135
717912483,Client actuel,43,M,4,Licence,Non connu,$80K - $120K,Blue,27,2,0,0,35,0.0
714454758,Client actuel,57,F,3,Licence,Marié(e),Moins de $40K,Blue,47,2,3,1594,37,0.251
780466533,Client actuel,54,M,3,Doctorat,Marié(e),$120K +,Blue,41,3,0,1676,52,0.078
715735233,Client actuel,51,F,5,Master,Marié(e),Moins de $40K,Blue,44,1,1,1598,42,0.463
720476733,Client actuel,47,F,3,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,34,1,2,799,22,0.133
715872333,Client actuel,41,M,0,Lycée (équivalent baccalauréat),Non connu,$120K +,Blue,36,2,3,1998,21,0.11
712375758,Client actuel,53,M,3,Sans diplôme,Célibataire,$80K - $120K,Blue,43,3,1,1423,42,0.087
708868233,Client perdu,68,M,0,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,52,5,2,900,21,0.626
718030083,Client actuel,59,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,36,1,2,1687,22,0.214
720707283,Client actuel,48,M,4,Non connu,Marié(e),$80K - $120K,Blue,36,3,0,866,42,0.164
771698658,Client actuel,44,M,5,Licence,Marié(e),$60K - $80K,Blue,32,5,3,2006,27,0.176
748326258,Client actuel,48,M,3,Niveau Bac+2,Célibataire,$80K - $120K,Blue,41,5,3,1632,41,0.133
770817783,Client actuel,47,M,4,Licence,Marié(e),$60K - $80K,Silver,33,2,1,1679,27,0.049
779353083,Client actuel,47,M,2,Licence,Célibataire,$60K - $80K,Silver,32,2,2,1468,32,0.043
711441333,Client actuel,43,F,1,Lycée (équivalent baccalauréat),Divorcé(e),Moins de $40K,Silver,35,2,2,1580,27,0.15
719808558,Client perdu,55,F,2,Licence,Marié(e),$40K - $60K,Blue,43,5,3,0,27,0.0
711551958,Client perdu,59,M,2,Master,Marié(e),$60K - $80K,Blue,46,5,3,0,24,0.0
809164083,Client actuel,63,M,1,Licence,Marié(e),$40K - $60K,Blue,56,1,2,1779,37,0.679
820596183,Client actuel,58,M,2,Niveau Bac+2,Célibataire,$120K +,Blue,53,3,0,2395,48,0.098
715999608,Client actuel,53,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,36,1,2,1649,26,0.694
710565408,Client actuel,59,M,0,Non connu,Non connu,$80K - $120K,Silver,40,2,3,1359,26,0.039
805543158,Client actuel,52,M,3,Licence,Marié(e),$120K +,Blue,47,3,3,2207,40,0.199
709752183,Client actuel,48,M,3,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,36,2,2,2517,37,0.22
716479233,Client actuel,43,M,4,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,36,3,2,1721,21,0.13
713837058,Client actuel,48,M,2,Niveau Bac+2,Célibataire,Moins de $40K,Blue,36,2,3,1955,24,0.76
718876683,Client actuel,43,F,4,Licence,Célibataire,Moins de $40K,Blue,31,2,0,1168,32,0.202
770746908,Client actuel,44,M,4,Non connu,Marié(e),$60K - $80K,Blue,30,1,2,2509,32,0.319
794843883,Client actuel,41,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,35,1,2,1202,33,0.035
803043933,Client actuel,44,F,3,Sans diplôme,Divorcé(e),Moins de $40K,Silver,38,1,3,1835,25,0.165
758076408,Client actuel,50,M,2,Non connu,Célibataire,$40K - $60K,Blue,43,1,3,1603,43,0.863
714606558,Client actuel,60,F,1,Sans diplôme,Marié(e),Moins de $40K,Blue,36,1,0,1272,22,0.665
778425408,Client actuel,44,M,4,Licence,Marié(e),$80K - $120K,Blue,24,3,0,2295,24,0.598
714171108,Client actuel,48,F,3,Licence,Divorcé(e),$40K - $60K,Blue,39,2,3,1141,20,0.539
719662458,Client actuel,44,F,2,Licence,Divorcé(e),Moins de $40K,Blue,27,2,2,679,29,0.472
713137233,Client actuel,41,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,28,3,0,1789,24,0.064
769425858,Client actuel,45,M,3,Niveau Bac+2,Célibataire,$60K - $80K,Blue,32,1,2,0,26,0.0
711297483,Client actuel,47,F,2,Sans diplôme,Divorcé(e),Moins de $40K,Silver,34,4,2,2222,38,0.16
788900883,Client actuel,51,F,2,Licence,Marié(e),Moins de $40K,Blue,36,1,3,1304,38,0.42
758348808,Client actuel,51,M,2,Licence,Célibataire,$120K +,Blue,44,3,3,1666,18,0.048
772336458,Client perdu,60,F,1,Sans diplôme,Marié(e),$40K - $60K,Blue,50,6,3,1025,12,0.713
708711483,Client actuel,57,M,2,Non connu,Célibataire,$80K - $120K,Blue,46,3,0,1740,21,0.092
717906783,Client actuel,41,M,5,Licence,Célibataire,$120K +,Blue,29,2,2,1748,26,0.336
719437908,Client actuel,44,M,3,Master,Divorcé(e),$80K - $120K,Blue,36,2,2,1644,50,0.092
769433508,Client actuel,43,M,1,Niveau Bac+2,Célibataire,$60K - $80K,Blue,37,3,3,1819,25,0.666
790096533,Client actuel,55,M,2,Niveau Bac+2,Célibataire,$60K - $80K,Blue,48,3,2,1301,27,0.147
720997383,Client perdu,52,M,1,Sans diplôme,Marié(e),$80K - $120K,Blue,36,4,3,1833,17,0.987
787541883,Client actuel,44,M,3,Licence,Non connu,$80K - $120K,Blue,33,3,3,0,27,0.0
709930758,Client actuel,41,M,2,Sans diplôme,Marié(e),$40K - $60K,Blue,30,3,3,1222,33,0.11
789830058,Client actuel,44,M,4,Non connu,Marié(e),$80K - $120K,Blue,34,1,2,1585,36,0.073
710299608,Client perdu,53,F,2,Non connu,Marié(e),$40K - $60K,Blue,33,4,3,2517,30,0.88
710741208,Client actuel,39,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,36,2,2,1475,25,0.28
821797008,Client perdu,49,M,5,Niveau Bac+2,Marié(e),$40K - $60K,Blue,45,2,3,0,21,0.0
708874533,Client perdu,45,F,2,Niveau Bac+2,Marié(e),$40K - $60K,Blue,36,4,2,0,24,0.0
715341858,Client actuel,54,M,2,Licence,Célibataire,$80K - $120K,Blue,46,2,3,1289,49,0.65
